L	b2	b4	b8	b16	b32
160.0	6.0	9.0	15.0	26.0	48.0
161.0	6.0	9.0	15.0	26.0	48.0
162.0	6.0	9.0	15.0	26.0	48.0
163.0	6.0	9.0	15.0	26.0	48.0
164.0	6.0	9.0	15.0	26.0	48.0
165.0	6.0	9.0	15.0	26.0	48.0
166.0	6.0	9.0	15.0	26.0	48.0
167.0	6.0	9.0	15.0	26.0	48.0
168.0	6.0	9.0	15.0	26.0	48.0
169.0	6.0	9.0	15.0	26.0	48.0
170.0	6.0	9.0	15.0	26.0	48.0
171.0	6.0	9.0	15.0	26.0	48.0
172.0	6.0	9.0	15.0	26.0	48.0
173.0	6.0	9.0	15.0	26.0	48.0
174.0	6.0	9.0	15.0	26.0	48.0
175.0	6.0	9.0	15.0	26.0	48.0
176.0	6.0	9.0	15.0	26.0	48.0
177.0	6.0	9.0	15.0	26.0	48.0
178.0	6.0	9.0	15.0	26.0	48.0
179.0	6.0	9.0	15.0	26.0	48.0
180.0	6.0	9.0	15.0	26.0	48.0
181.0	6.0	9.0	15.0	26.0	48.0
182.0	6.0	9.0	15.0	27.0	48.0
183.0	6.0	9.0	15.0	27.0	48.0
184.0	6.0	9.0	15.0	27.0	48.0
185.0	6.0	9.0	15.0	27.0	48.0
186.0	6.0	9.0	15.0	27.0	48.0
187.0	6.0	9.0	15.0	27.0	48.0
188.0	6.0	9.0	15.0	27.0	48.0
189.0	6.0	9.0	15.0	27.0	48.0
190.0	6.0	9.0	15.0	27.0	48.0
191.0	6.0	9.0	15.0	27.0	48.0
192.0	6.0	9.0	15.0	27.0	48.0
193.0	6.0	9.0	15.0	27.0	48.0
194.0	6.0	9.0	15.0	27.0	48.0
195.0	6.0	9.0	15.0	27.0	48.0
196.0	6.0	9.0	15.0	27.0	48.0
197.0	6.0	9.0	15.0	27.0	49.0
198.0	6.0	9.0	15.0	27.0	49.0
199.0	6.0	9.0	15.0	27.0	49.0
200.0	6.0	9.0	15.0	27.0	49.0
201.0	6.0	9.0	15.0	27.0	49.0
202.0	6.0	9.0	15.0	27.0	49.0
203.0	6.0	9.0	15.0	27.0	49.0
204.0	6.0	9.0	15.0	27.0	49.0
205.0	6.0	9.0	15.0	27.0	49.0
206.0	6.0	9.0	15.0	27.0	49.0
207.0	6.0	9.0	15.0	27.0	49.0
208.0	6.0	9.0	15.0	27.0	49.0
209.0	6.0	9.0	15.0	27.0	49.0
210.0	6.0	9.0	15.0	27.0	49.0
211.0	6.0	9.0	15.0	27.0	49.0
212.0	6.0	9.0	15.0	27.0	49.0
213.0	6.0	9.0	15.0	27.0	49.0
214.0	6.0	9.0	15.0	27.0	49.0
215.0	6.0	9.0	15.0	27.0	49.0
216.0	6.0	9.0	15.0	27.0	49.0
217.0	6.0	9.0	15.0	27.0	49.0
218.0	6.0	9.0	15.0	27.0	49.0
219.0	6.0	9.0	15.0	27.0	49.0
220.0	6.0	9.0	15.0	27.0	49.0
221.0	6.0	9.0	15.0	27.0	49.0
222.0	6.0	9.0	15.0	27.0	49.0
223.0	6.0	9.0	15.0	27.0	49.0
224.0	6.0	9.0	15.0	27.0	49.0
225.0	6.0	10.0	15.0	27.0	49.0
226.0	6.0	10.0	15.0	27.0	49.0
227.0	6.0	10.0	15.0	27.0	49.0
228.0	6.0	10.0	15.0	27.0	49.0
229.0	6.0	10.0	15.0	27.0	49.0
230.0	6.0	10.0	15.0	27.0	49.0
231.0	6.0	10.0	15.0	27.0	49.0
232.0	6.0	10.0	15.0	27.0	49.0
233.0	6.0	10.0	15.0	27.0	49.0
234.0	6.0	10.0	15.0	27.0	49.0
235.0	6.0	10.0	15.0	27.0	49.0
236.0	6.0	10.0	15.0	27.0	49.0
237.0	6.0	10.0	15.0	27.0	49.0
238.0	6.0	10.0	15.0	27.0	49.0
239.0	6.0	10.0	16.0	27.0	49.0
240.0	6.0	10.0	16.0	27.0	49.0
241.0	6.0	10.0	16.0	27.0	49.0
242.0	6.0	10.0	16.0	27.0	49.0
243.0	6.0	10.0	16.0	27.0	49.0
244.0	6.0	10.0	16.0	27.0	49.0
245.0	6.0	10.0	16.0	27.0	49.0
246.0	6.0	10.0	16.0	27.0	49.0
247.0	6.0	10.0	16.0	27.0	49.0
248.0	6.0	10.0	16.0	27.0	49.0
249.0	6.0	10.0	16.0	27.0	49.0
250.0	6.0	10.0	16.0	27.0	49.0
251.0	6.0	10.0	16.0	27.0	49.0
252.0	6.0	10.0	16.0	27.0	49.0
253.0	6.0	10.0	16.0	27.0	49.0
254.0	6.0	10.0	16.0	27.0	49.0
255.0	6.0	10.0	16.0	27.0	49.0
256.0	6.0	10.0	16.0	27.0	49.0
257.0	6.0	10.0	16.0	27.0	49.0
258.0	6.0	10.0	16.0	27.0	49.0
259.0	6.0	10.0	16.0	27.0	49.0
260.0	6.0	10.0	16.0	27.0	49.0
261.0	6.0	10.0	16.0	27.0	49.0
262.0	6.0	10.0	16.0	27.0	49.0
263.0	6.0	10.0	16.0	27.0	49.0
264.0	7.0	10.0	16.0	27.0	49.0
265.0	7.0	10.0	16.0	27.0	49.0
266.0	7.0	10.0	16.0	27.0	49.0
267.0	7.0	10.0	16.0	27.0	49.0
268.0	7.0	10.0	16.0	27.0	49.0
269.0	7.0	10.0	16.0	27.0	49.0
270.0	7.0	10.0	16.0	27.0	49.0
271.0	7.0	10.0	16.0	27.0	49.0
272.0	7.0	10.0	16.0	27.0	49.0
273.0	7.0	10.0	16.0	27.0	49.0
274.0	7.0	10.0	16.0	27.0	49.0
275.0	7.0	10.0	16.0	27.0	49.0
276.0	7.0	10.0	16.0	27.0	49.0
277.0	7.0	10.0	16.0	27.0	49.0
278.0	7.0	10.0	16.0	27.0	49.0
279.0	7.0	10.0	16.0	27.0	49.0
280.0	7.0	10.0	16.0	27.0	49.0
281.0	7.0	10.0	16.0	27.0	49.0
282.0	7.0	10.0	16.0	27.0	49.0
283.0	7.0	10.0	16.0	27.0	49.0
284.0	7.0	10.0	16.0	27.0	49.0
285.0	7.0	10.0	16.0	27.0	49.0
286.0	7.0	10.0	16.0	27.0	49.0
287.0	7.0	10.0	16.0	27.0	49.0
288.0	7.0	10.0	16.0	27.0	49.0
289.0	7.0	10.0	16.0	27.0	49.0
290.0	7.0	10.0	16.0	27.0	49.0
291.0	7.0	10.0	16.0	27.0	49.0
292.0	7.0	10.0	16.0	27.0	49.0
293.0	7.0	10.0	16.0	27.0	49.0
294.0	7.0	10.0	16.0	27.0	49.0
295.0	7.0	10.0	16.0	27.0	49.0
296.0	7.0	10.0	16.0	27.0	49.0
297.0	7.0	10.0	16.0	27.0	49.0
298.0	7.0	10.0	16.0	27.0	49.0
299.0	7.0	10.0	16.0	27.0	49.0
300.0	7.0	10.0	16.0	27.0	49.0
301.0	7.0	10.0	16.0	27.0	49.0
302.0	7.0	10.0	16.0	27.0	49.0
303.0	7.0	10.0	16.0	27.0	49.0
304.0	7.0	10.0	16.0	27.0	49.0
305.0	7.0	10.0	16.0	27.0	49.0
306.0	7.0	10.0	16.0	27.0	49.0
307.0	7.0	10.0	16.0	27.0	49.0
308.0	7.0	10.0	16.0	27.0	49.0
309.0	7.0	10.0	16.0	27.0	49.0
310.0	7.0	10.0	16.0	27.0	49.0
311.0	7.0	10.0	16.0	27.0	49.0
312.0	7.0	10.0	16.0	27.0	49.0
313.0	7.0	10.0	16.0	27.0	49.0
314.0	7.0	10.0	16.0	27.0	49.0
315.0	7.0	10.0	16.0	27.0	49.0
316.0	7.0	10.0	16.0	27.0	49.0
317.0	7.0	10.0	16.0	27.0	49.0
318.0	7.0	10.0	16.0	27.0	49.0
319.0	7.0	10.0	16.0	27.0	49.0
320.0	7.0	10.0	16.0	27.0	49.0
321.0	7.0	10.0	16.0	27.0	49.0
322.0	7.0	10.0	16.0	27.0	49.0
323.0	7.0	10.0	16.0	27.0	49.0
324.0	7.0	10.0	16.0	27.0	49.0
325.0	7.0	10.0	16.0	27.0	49.0
326.0	7.0	10.0	16.0	27.0	49.0
327.0	7.0	10.0	16.0	27.0	49.0
328.0	7.0	10.0	16.0	27.0	49.0
329.0	7.0	10.0	16.0	27.0	49.0
330.0	7.0	10.0	16.0	27.0	49.0
331.0	7.0	10.0	16.0	27.0	49.0
332.0	7.0	10.0	16.0	27.0	49.0
333.0	7.0	10.0	16.0	27.0	49.0
334.0	7.0	10.0	16.0	27.0	49.0
335.0	7.0	10.0	16.0	27.0	49.0
336.0	7.0	10.0	16.0	27.0	49.0
337.0	7.0	10.0	16.0	27.0	49.0
338.0	7.0	10.0	16.0	27.0	49.0
339.0	7.0	10.0	16.0	27.0	49.0
340.0	7.0	10.0	16.0	27.0	49.0
341.0	7.0	10.0	16.0	27.0	49.0
342.0	7.0	10.0	16.0	27.0	49.0
343.0	7.0	10.0	16.0	27.0	49.0
344.0	7.0	10.0	16.0	27.0	49.0
345.0	7.0	10.0	16.0	27.0	49.0
346.0	7.0	10.0	16.0	27.0	49.0
347.0	7.0	10.0	16.0	27.0	49.0
348.0	7.0	10.0	16.0	27.0	49.0
349.0	7.0	10.0	16.0	27.0	49.0
350.0	7.0	10.0	16.0	27.0	49.0
351.0	7.0	10.0	16.0	27.0	49.0
352.0	7.0	10.0	16.0	27.0	49.0
353.0	7.0	10.0	16.0	27.0	49.0
354.0	7.0	10.0	16.0	27.0	49.0
355.0	7.0	10.0	16.0	27.0	49.0
356.0	7.0	10.0	16.0	27.0	49.0
357.0	7.0	10.0	16.0	27.0	49.0
358.0	7.0	10.0	16.0	27.0	50.0
359.0	7.0	10.0	16.0	27.0	50.0
360.0	7.0	10.0	16.0	27.0	50.0
361.0	7.0	10.0	16.0	27.0	50.0
362.0	7.0	10.0	16.0	27.0	50.0
363.0	7.0	10.0	16.0	27.0	50.0
364.0	7.0	10.0	16.0	27.0	50.0
365.0	7.0	10.0	16.0	27.0	50.0
366.0	7.0	10.0	16.0	27.0	50.0
367.0	7.0	10.0	16.0	27.0	50.0
368.0	7.0	10.0	16.0	27.0	50.0
369.0	7.0	10.0	16.0	27.0	50.0
370.0	7.0	10.0	16.0	27.0	50.0
371.0	7.0	10.0	16.0	27.0	50.0
372.0	7.0	10.0	16.0	27.0	50.0
373.0	7.0	10.0	16.0	27.0	50.0
374.0	7.0	10.0	16.0	27.0	50.0
375.0	7.0	10.0	16.0	27.0	50.0
376.0	7.0	10.0	16.0	27.0	50.0
377.0	7.0	10.0	16.0	27.0	50.0
378.0	7.0	10.0	16.0	27.0	50.0
379.0	7.0	10.0	16.0	27.0	50.0
380.0	7.0	10.0	16.0	27.0	50.0
381.0	7.0	10.0	16.0	27.0	50.0
382.0	7.0	10.0	16.0	27.0	50.0
383.0	7.0	10.0	16.0	27.0	50.0
384.0	7.0	10.0	16.0	27.0	50.0
385.0	7.0	10.0	16.0	27.0	50.0
386.0	7.0	10.0	16.0	27.0	50.0
387.0	7.0	10.0	16.0	27.0	50.0
388.0	7.0	10.0	16.0	28.0	50.0
389.0	7.0	10.0	16.0	28.0	50.0
390.0	7.0	10.0	16.0	28.0	50.0
391.0	7.0	10.0	16.0	28.0	50.0
392.0	7.0	10.0	16.0	28.0	50.0
393.0	7.0	10.0	16.0	28.0	50.0
394.0	7.0	10.0	16.0	28.0	50.0
395.0	7.0	10.0	16.0	28.0	50.0
396.0	7.0	10.0	16.0	28.0	50.0
397.0	7.0	10.0	16.0	28.0	50.0
398.0	7.0	10.0	16.0	28.0	50.0
399.0	7.0	10.0	16.0	28.0	50.0
400.0	7.0	10.0	16.0	28.0	50.0
401.0	7.0	10.0	16.0	28.0	50.0
402.0	7.0	10.0	16.0	28.0	50.0
403.0	7.0	10.0	16.0	28.0	50.0
404.0	7.0	10.0	16.0	28.0	50.0
405.0	7.0	10.0	16.0	28.0	50.0
406.0	7.0	10.0	16.0	28.0	50.0
407.0	7.0	10.0	16.0	28.0	50.0
408.0	7.0	10.0	16.0	28.0	50.0
409.0	7.0	10.0	16.0	28.0	50.0
410.0	7.0	10.0	16.0	28.0	50.0
411.0	7.0	10.0	16.0	28.0	50.0
412.0	7.0	10.0	16.0	28.0	50.0
413.0	7.0	10.0	16.0	28.0	50.0
414.0	7.0	10.0	16.0	28.0	50.0
415.0	7.0	10.0	16.0	28.0	50.0
416.0	7.0	10.0	16.0	28.0	50.0
417.0	7.0	10.0	16.0	28.0	50.0
418.0	7.0	10.0	16.0	28.0	50.0
419.0	7.0	10.0	16.0	28.0	50.0
420.0	7.0	10.0	16.0	28.0	50.0
421.0	7.0	10.0	16.0	28.0	50.0
422.0	7.0	10.0	16.0	28.0	50.0
423.0	7.0	10.0	16.0	28.0	50.0
424.0	7.0	10.0	16.0	28.0	50.0
425.0	7.0	10.0	16.0	28.0	50.0
426.0	7.0	10.0	16.0	28.0	50.0
427.0	7.0	10.0	16.0	28.0	50.0
428.0	7.0	10.0	16.0	28.0	50.0
429.0	7.0	10.0	16.0	28.0	50.0
430.0	7.0	10.0	16.0	28.0	50.0
431.0	7.0	10.0	16.0	28.0	50.0
432.0	7.0	10.0	16.0	28.0	50.0
433.0	7.0	10.0	16.0	28.0	50.0
434.0	7.0	10.0	16.0	28.0	50.0
435.0	7.0	10.0	16.0	28.0	50.0
436.0	7.0	10.0	16.0	28.0	50.0
437.0	7.0	10.0	16.0	28.0	50.0
438.0	7.0	10.0	16.0	28.0	50.0
439.0	7.0	10.0	16.0	28.0	50.0
440.0	7.0	10.0	16.0	28.0	50.0
441.0	7.0	10.0	16.0	28.0	50.0
442.0	7.0	10.0	16.0	28.0	50.0
443.0	7.0	10.0	16.0	28.0	50.0
444.0	7.0	10.0	16.0	28.0	50.0
445.0	7.0	10.0	16.0	28.0	50.0
446.0	7.0	10.0	16.0	28.0	50.0
447.0	7.0	10.0	16.0	28.0	50.0
448.0	7.0	10.0	16.0	28.0	50.0
449.0	7.0	10.0	16.0	28.0	50.0
450.0	7.0	10.0	16.0	28.0	50.0
451.0	7.0	10.0	16.0	28.0	50.0
452.0	7.0	10.0	16.0	28.0	50.0
453.0	7.0	10.0	16.0	28.0	50.0
454.0	7.0	10.0	16.0	28.0	50.0
455.0	7.0	10.0	16.0	28.0	50.0
456.0	7.0	10.0	16.0	28.0	50.0
457.0	7.0	10.0	16.0	28.0	50.0
458.0	7.0	10.0	16.0	28.0	50.0
459.0	7.0	10.0	16.0	28.0	50.0
460.0	7.0	10.0	16.0	28.0	50.0
461.0	7.0	10.0	16.0	28.0	50.0
462.0	7.0	10.0	16.0	28.0	50.0
463.0	7.0	10.0	16.0	28.0	50.0
464.0	7.0	10.0	16.0	28.0	50.0
465.0	7.0	10.0	16.0	28.0	50.0
466.0	7.0	10.0	16.0	28.0	50.0
467.0	7.0	10.0	16.0	28.0	50.0
468.0	7.0	10.0	16.0	28.0	50.0
469.0	7.0	10.0	16.0	28.0	50.0
470.0	7.0	10.0	16.0	28.0	50.0
471.0	7.0	10.0	16.0	28.0	50.0
472.0	7.0	10.0	16.0	28.0	50.0
473.0	7.0	10.0	16.0	28.0	50.0
474.0	7.0	10.0	16.0	28.0	50.0
475.0	7.0	10.0	16.0	28.0	50.0
476.0	7.0	10.0	16.0	28.0	50.0
477.0	7.0	10.0	16.0	28.0	50.0
478.0	7.0	10.0	16.0	28.0	50.0
479.0	7.0	10.0	16.0	28.0	50.0
480.0	7.0	10.0	16.0	28.0	50.0
481.0	7.0	10.0	16.0	28.0	50.0
482.0	7.0	10.0	16.0	28.0	50.0
483.0	7.0	10.0	16.0	28.0	50.0
484.0	7.0	10.0	16.0	28.0	50.0
485.0	7.0	10.0	16.0	28.0	50.0
486.0	7.0	10.0	16.0	28.0	50.0
487.0	7.0	10.0	16.0	28.0	50.0
488.0	7.0	10.0	16.0	28.0	50.0
489.0	7.0	10.0	16.0	28.0	50.0
490.0	7.0	10.0	16.0	28.0	50.0
491.0	7.0	10.0	16.0	28.0	50.0
492.0	7.0	10.0	16.0	28.0	50.0
493.0	7.0	10.0	16.0	28.0	50.0
494.0	7.0	10.0	16.0	28.0	50.0
495.0	7.0	10.0	16.0	28.0	50.0
496.0	7.0	10.0	16.0	28.0	50.0
497.0	7.0	10.0	16.0	28.0	50.0
498.0	7.0	10.0	16.0	28.0	50.0
499.0	7.0	10.0	16.0	28.0	50.0
500.0	7.0	10.0	16.0	28.0	50.0
501.0	7.0	10.0	16.0	28.0	50.0
502.0	7.0	10.0	16.0	28.0	50.0
503.0	7.0	10.0	16.0	28.0	50.0
504.0	7.0	10.0	16.0	28.0	50.0
505.0	7.0	10.0	16.0	28.0	50.0
506.0	7.0	10.0	16.0	28.0	50.0
507.0	7.0	10.0	16.0	28.0	50.0
508.0	7.0	10.0	16.0	28.0	50.0
509.0	7.0	10.0	16.0	28.0	50.0
510.0	7.0	10.0	16.0	28.0	50.0
511.0	7.0	10.0	16.0	28.0	50.0
512.0	7.0	10.0	16.0	28.0	50.0
513.0	7.0	10.0	16.0	28.0	50.0
514.0	7.0	10.0	16.0	28.0	50.0
515.0	7.0	10.0	16.0	28.0	50.0
516.0	7.0	10.0	16.0	28.0	50.0
517.0	7.0	10.0	16.0	28.0	50.0
518.0	7.0	10.0	16.0	28.0	50.0
519.0	7.0	10.0	16.0	28.0	50.0
520.0	7.0	10.0	16.0	28.0	50.0
521.0	7.0	10.0	16.0	28.0	50.0
522.0	7.0	10.0	16.0	28.0	50.0
523.0	7.0	10.0	16.0	28.0	50.0
524.0	7.0	10.0	16.0	28.0	50.0
525.0	7.0	10.0	16.0	28.0	50.0
526.0	7.0	10.0	16.0	28.0	50.0
527.0	7.0	10.0	16.0	28.0	50.0
528.0	7.0	10.0	16.0	28.0	50.0
529.0	7.0	10.0	16.0	28.0	50.0
530.0	7.0	10.0	16.0	28.0	50.0
531.0	7.0	10.0	16.0	28.0	50.0
532.0	7.0	10.0	16.0	28.0	50.0
533.0	7.0	10.0	16.0	28.0	50.0
534.0	7.0	10.0	16.0	28.0	50.0
535.0	7.0	10.0	16.0	28.0	50.0
536.0	7.0	10.0	16.0	28.0	50.0
537.0	7.0	10.0	16.0	28.0	50.0
538.0	7.0	10.0	16.0	28.0	50.0
539.0	7.0	10.0	16.0	28.0	50.0
540.0	7.0	10.0	16.0	28.0	50.0
541.0	7.0	10.0	16.0	28.0	50.0
542.0	7.0	10.0	16.0	28.0	50.0
543.0	7.0	10.0	16.0	28.0	50.0
544.0	7.0	10.0	16.0	28.0	50.0
545.0	7.0	10.0	16.0	28.0	50.0
546.0	7.0	10.0	16.0	28.0	50.0
547.0	7.0	10.0	16.0	28.0	50.0
548.0	7.0	10.0	16.0	28.0	50.0
549.0	7.0	10.0	16.0	28.0	50.0
550.0	7.0	10.0	16.0	28.0	50.0
551.0	7.0	10.0	16.0	28.0	50.0
552.0	7.0	10.0	16.0	28.0	50.0
553.0	7.0	10.0	16.0	28.0	50.0
554.0	7.0	10.0	16.0	28.0	50.0
555.0	7.0	10.0	16.0	28.0	50.0
556.0	7.0	10.0	16.0	28.0	50.0
557.0	7.0	10.0	16.0	28.0	50.0
558.0	7.0	10.0	16.0	28.0	50.0
559.0	7.0	10.0	16.0	28.0	50.0
560.0	7.0	10.0	16.0	28.0	50.0
561.0	7.0	10.0	16.0	28.0	50.0
562.0	7.0	10.0	16.0	28.0	50.0
563.0	7.0	10.0	16.0	28.0	50.0
564.0	7.0	10.0	16.0	28.0	50.0
565.0	7.0	10.0	16.0	28.0	50.0
566.0	7.0	10.0	16.0	28.0	50.0
567.0	7.0	10.0	16.0	28.0	50.0
568.0	7.0	10.0	16.0	28.0	50.0
569.0	7.0	10.0	16.0	28.0	50.0
570.0	7.0	10.0	16.0	28.0	50.0
571.0	7.0	10.0	16.0	28.0	50.0
572.0	7.0	10.0	16.0	28.0	50.0
573.0	7.0	10.0	16.0	28.0	50.0
574.0	7.0	10.0	16.0	28.0	50.0
575.0	7.0	10.0	16.0	28.0	50.0
576.0	7.0	10.0	16.0	28.0	50.0
577.0	7.0	10.0	16.0	28.0	50.0
578.0	7.0	10.0	16.0	28.0	50.0
579.0	7.0	10.0	16.0	28.0	50.0
580.0	7.0	10.0	16.0	28.0	50.0
581.0	7.0	10.0	16.0	28.0	50.0
