L	b2	b4	b8	b16	b32	u2	u4	u8	u16	u32
43.0	2825.5001466571307	3648.6484480260992	4345.632576164461	4898.225075268167	5253.991180256826	3232.01290764595	4095.5491365588764	4681.142824163633	5461.333333333333	5698.782608695652
44.0	2816.5757508935003	3640.523476841505	4340.021993828025	4891.788938730392	5249.976172118513	3230.978663515503	4095.5386519530866	4681.142823396674	5461.333333333333	5698.782608695652
45.0	2807.7094681446256	3632.4721402736263	4334.462550022611	4885.478647179308	5246.026987640921	3229.944750343178	4095.528167374138	4681.142822629716	5461.333333333333	5698.782608695652
46.0	2798.900897311641	3624.4936731970365	4328.953674313657	4880.004601266767	5242.1420572415345	3228.911168023068	4095.517682822029	4681.142821862757	5242.88	5698.782608695652
47.0	2790.149640072428	3616.587318569526	4323.494802891676	4875.498771019711	5238.31985435781	3227.877916449301	4095.5071982967615	4681.142821095798	5242.88	5698.782608695652
48.0	2781.455300862385	3608.752327346537	4318.08537849466	4871.045057327552	5234.558894195855	3226.844995516037	4095.496713798334	4681.14282032884	5242.88	5698.782608695652
49.0	2772.8174868553374	3600.9879583965053	4312.724850331395	4866.642655786895	5230.857732516491	3225.812405117472	4095.4862293267465	4681.142819561881	5242.88	5698.782608695652
50.0	2764.2358079445753	3593.2934784170957	4307.412674005687	4862.290775492857	5227.214964457543	3224.7801451478344	4095.4757448819996	4681.142818794922	5242.88	5698.782608695652
51.0	2755.7098767240263	3585.668161852321	4302.148311441464	4857.988638806472	5223.629223391304	3223.748215501387	4095.465260464093	4681.142818027964	5242.88	5698.782608695652
52.0	2747.239308469553	3578.1112908105497	4296.931230808761	4853.735481126142	5220.099179816062	3222.716616072427	4095.454776073026	4681.142817261005	5242.88	5698.782608695652
53.0	2738.8237211203887	3570.6221549833667	4291.760906450575	4849.530550663055	5216.623540280706	3221.6853467552837	4095.4442917087995	4681.142816494046	5242.88	5698.782608695652
54.0	2730.4627352606904	3563.200051565307	4286.636818810578	4845.373108220517	5213.2010463413735	3220.654407444322	4095.4338073714125	4681.1428157270875	5242.88	5698.782608695652
55.0	2722.1559741012315	3555.8442851744308	4281.558454361676	4841.2624269771	5209.830473549198	3219.62379803394	4095.4233230608656	4681.142814960129	5242.88	5698.782608695652
56.0	2713.903063461212	3548.554167773741	4276.525305535405	4837.197792273582	5206.510630468212	3218.593518418569	4095.412838777159	4681.14281419317	5242.88	5698.782608695652
57.0	2705.7036317501984	3541.3290185934356	4271.536870652166	4833.178501403554	5203.240357722475	3217.5635684926756	4095.4023545202917	4681.142813426211	5242.88	5698.782608695652
58.0	2697.5573099501903	3534.168164053982	4266.592653852256	4829.203863407698	5200.018527071577	3216.5339481507576	4095.3918702902643	4681.142812659253	5242.88	5698.782608695652
59.0	2689.463731597806	3527.0709376900036	4261.692165027738	4825.273198871629	5196.844040513646	3215.50465728735	4095.3813860870764	4681.142811892294	5242.88	5698.782608695652
60.0	2681.422532766597	3520.0366800749744	4256.834919755081	4821.385839727236	5193.715829415003	3214.4756957970176	4095.3709019107278	4681.142811125335	5242.88	5698.782608695652
61.0	2673.433352049483	3513.0647387467106	4252.020439228614	4817.5411290574875	5190.632853665728	3213.447063574363	4095.360417761219	4681.142810358377	5242.88	5698.782608695652
62.0	2665.4958305413047	3506.1544681336522	4247.248250194742	4813.738420904627	5187.594100860266	3212.4187605140187	4095.34993363855	4681.142809591418	5242.88	5698.782608695652
63.0	2657.609611821505	3499.305229481922	4242.517884886946	4809.977080081689	5184.598585502412	3211.3907865106544	4095.3394495427196	4681.142808824459	5242.88	5698.782608695652
64.0	2649.7743419369235	3492.516390783162	4237.828880961548	4806.2564819873005	5181.645348233853	3210.363141458971	4095.328965473729	4681.142808057501	5242.88	5698.782608695652
65.0	2641.989669384713	3485.7873267031273	4233.180781434208	4802.576012423691	5178.733455085627	3209.335825253704	4095.3184814315773	4681.142807290543	5242.88	5698.782608695652
66.0	2634.2552450953744	3479.117418511041	4228.573134617197	4798.935067417868	5176.02219605245	3208.308837789623	4095.307997416265	4681.142806523584	5242.88	5577.531914893617
67.0	2626.5707224159064	3472.506054009695	4224.00549405738	4795.333053045894	5173.672982193062	3207.2821789615305	4095.2975134277917	4681.142805756625	5242.88	5577.531914893617
68.0	2618.935757093077	3465.9526274662953	4219.477418474942	4791.769385260215	5171.3466763422175	3206.255848664263	4095.2870294661575	4681.142804989667	5242.88	5577.531914893617
69.0	2611.3500072568067	3459.4565395440304	4214.988471702824	4788.243489719989	5169.0429604357105	3205.2298467926903	4095.276545531362	4681.142804222708	5242.88	5577.531914893617
70.0	2603.8131334036657	3453.0171972343724	4210.538222626877	4784.754801624358	5166.76152141549	3204.2041732417165	4095.266061623405	4681.142803455749	5242.88	5577.531914893617
71.0	2596.3247983804913	3446.6340137900925	4206.1262451267075	4781.3027655486185	5164.50205114675	3203.1788279062794	4095.2555777422876	4681.142802688791	5242.88	5577.531914893617
72.0	2588.8846673681114	3440.306408658984	4201.752118017233	4777.88683528323	5162.264246336422	3202.153810681349	4095.245093888009	4681.142801921832	5242.88	5577.531914893617
73.0	2581.492407865187	3434.033807418289	4197.415424990904	4774.5064736756185	5160.047808453034	3201.1291214619314	4095.2346100605687	4681.142801154873	5242.88	5577.531914893617
74.0	2574.147689672162	3427.8156417098207	4193.115754560618	4771.161152474736	5157.852443647951	3200.1047601430637	4095.224126259967	4681.142800387915	5242.88	5577.531914893617
75.0	2566.8501848753253	3421.6513491757664	4188.852700003299	4767.850352178306	5155.677862677917	3199.080726619818	4095.2136424862038	4681.142799620956	5242.88	5577.531914893617
76.0	2559.5995678309882	3415.5403733951794	4184.625859304139	4764.573561882721	5153.523780828933	3198.0570207872997	4095.203158739279	4681.142798853997	5242.88	5577.531914893617
77.0	2554.8237812072293	3409.482163821136	4180.43483510149	4761.330279135554	5151.389917841404	2717.242615788484	4095.192675019193	4681.1427980870385	5242.88	5577.531914893617
78.0	2552.7440239383563	3406.4855649798737	4176.279234632406	4758.120009790618	5149.275997836563	2717.0687122610734	3640.7434892163733	4681.14279732008	5242.88	5577.531914893617
