L	b2	b3	b4	u2	u3	u4
488.0	4.822466915327164e-6	44.97792832349571	891.7249714569554	1.827055192620246e-5	162.58705136064967	3749.9134556170957
489.0	4.62349306066645e-6	44.60097325862023	890.2068710335433	1.7539729849154362e-5	161.28635494976447	3743.9135940881083
490.0	4.432728820614539e-6	44.22717741263792	888.6913565371685	1.6838140655188187e-5	159.99606411016634	3737.923332337567
491.0	4.249835468396802e-6	43.8565143084831	887.1784235222196	1.616461502898066e-5	158.716095597285	3731.942655005827
492.0	4.074488253025939e-6	43.488957690991434	885.668067551861	1.5518030427821432e-5	157.44636683250673	3725.971546757817
493.0	3.906375822664273e-6	43.12448152504026	884.1602841979834	1.4897309210708573e-5	156.18679589784668	3720.0099922830045
494.0	3.7451996717779798e-6	42.76305999370438	882.655069041157	1.4301416842280229e-5	154.93730153066392	3714.0579762953516
495.0	3.590673611101594e-6	42.40466749642744	881.1524176705849	1.372936016858902e-5	153.6978031184186	3708.115483533279
496.0	3.4425232594716706e-6	42.04927864720851	879.6523256840572	1.3180185761845458e-5	152.46822069347124	3702.1824987596256
497.0	3.3004855566272594e-6	41.696868272803925	878.1547886879065	1.265297833137164e-5	151.24847492792347	3696.25900676161
498.0	3.1643082961121217e-6	41.34741141094423	876.6598022969647	1.2146859198116775e-5	150.0384871285001	3690.344992350791
499.0	3.033749677449293e-6	41.00088330856599	875.1673621345194	1.1660984830192103e-5	148.83817923147208	3684.4404403630297
500.0	2.9085778767928163e-6	40.65725942005846	873.6774638322729	1.1194545436984419e-5	147.6474737976203	3678.545335658449
501.0	2.7885706352942857e-6	40.316515405524974	872.1901030302997	1.0746763619505041e-5	146.46629400723936	3672.659663121395
502.0	2.6735148644532863e-6	39.97862712905885	870.705275377008	1.0316893074724839e-5	145.29456365518143	3666.783407660401
503.0	2.563206267750991e-6	39.64357065703378	869.2229765290983	9.904217351735845e-6	144.13220714594	3660.9165542081437
504.0	2.4574489778950547e-6	39.311322256408545	867.7432021515264	9.50804865766641e-6	142.97914948877246	3655.059087721411
505.0	2.3560552090317098e-6	38.98185839304593	866.2659479174638	9.127726711359753e-6	141.83531629286227	3649.2109931810564
506.0	2.2588449233075016e-6	38.655155730045756	864.7912095082619	8.762617642905364e-6	140.70063376251937	3643.372255591966
507.0	2.1656455111886136e-6	38.33119112609179	863.3189826134146	8.412112937189149e-6	139.5750286924192	3637.542859983019
508.0	2.0762914849701385e-6	38.00994163381265	861.8492629305226	8.075628419701582e-6	138.45842846287985	3631.722791407046
509.0	1.990624184931088e-6	37.69138449815636	860.3820461652583	7.752603282913518e-6	137.35076103517682	3625.9120349407945
510.0	1.908491497613375e-6	37.37549715477849	858.9173280313316	7.442499151596978e-6	136.2519549468954	3620.110575684889
511.0	1.8297475857245422e-6	37.06225722844393	857.4551042504548	7.1447991855330985e-6	135.16193930732024	3614.318398763793
512.0	1.7542526291846387e-6	36.75164253144195	855.9953705523113	6.859007218111774e-6	134.08064379286168	3608.535489325771
513.0	1.6818725768574406e-6	36.443631062014546	854.538122674521	6.584646929387303e-6	133.00799864251877	3602.76183254285
514.0	1.6124789085251883e-6	36.13820100279808	853.0833563626093	6.3212610522118104e-6	131.94393465337865	3596.9974136107808
515.0	1.5459484066841836e-6	35.83533071927777	851.6310673699753	6.068410610123338e-6	130.8883831761516	3591.2422177490034
516.0	1.4821629377560522e-6	35.53499875825539	850.1812514578613	5.825674185718404e-6	129.8412761107424	3585.4962302006047
517.0	1.4210092423261766e-6	35.23718384632956	848.7339043953212	5.592647218289668e-6	128.80254590185646	3579.759436232284
518.0	1.36237873403684e-6	34.94186488838895	847.289021959192	5.368941329558081e-6	127.7721255346416	3574.031821134312
519.0	1.306167306777996e-6	34.64902096611803	845.8465999340638	5.154183676375758e-6	126.74994853036446	3568.313370220497
520.0	1.2522751498332988e-6	34.358631336515366	844.4066341122505	4.948016329320727e-6	125.73594894212154	3562.6040688281437
521.0	1.2006065706531654e-6	34.07067543042436	842.9691202937622	4.7500956761478975e-6	124.73006135058456	3556.9039023180185
522.0	1.151069824940181e-6	33.78513285107621	841.5340542862771	4.560091849101982e-6	123.7322208597799	3551.21285607431
523.0	1.1035769537451396e-6	33.50198337264523	840.1014319051133	4.3776881751379025e-6	122.74236309290166	3545.5309155045907
524.0	1.058043627284464e-6	33.22120693881611	838.6712489732029	4.202580648132386e-6	121.76042418815844	3539.8580660397834
525.0	1.0143889952016823e-6	32.94278366136335	837.2435013210644	4.034477422207091e-6	120.78634079465319	3534.194293134119
